university,year,rank,score
University of Oklahoma,2020,571,0.0
University of Vermont,2020,571,0.0
Howard University,2020,581,0.0
Kanazawa University,2020,581,0.0
Lebanese American University,2020,581,0.0
Syracuse University,2020,581,0.0
Università degli Studi di Pavia,2020,581,0.0
Universitat de Valencia,2020,581,0.0
Université de Fribourg,2020,581,0.0
University of Balamand,2020,581,0.0
"Kingston University, London",2020,591,0.0
Université Côte d'Azur,2020,591,0.0
"Lingnan University, Hong Kong",2020,591,0.0
Middle East Technical University,2020,591,0.0
Universidad Nacional de La Plata (UNLP),2020,591,0.0
Universitat Ramon Llull,2020,591,0.0
Universiti Utara Malaysia (UUM),2020,591,0.0
University of Ljubljana,2020,591,0.0
University of Milano-Bicocca ,2020,591,0.0
University of Mons ,2020,591,0.0
Vilnius Gediminas Technical University,2020,591,0.0
Ajou University ,2020,601,0.0
American University,2020,601,0.0
American University in Dubai,2020,601,0.0
Ateneo de Manila University,2020,601,0.0
Bogor Agricultural University,2020,601,0.0
Central Queensland University (CQUniversity Australia),2020,601,0.0
Chiang Mai University,2020,601,0.0
City University of New York,2020,601,0.0
Clarkson University,2020,601,0.0
William & Mary,2020,601,0.0
Gifu University,2020,601,0.0
Holy Spirit University of Kaslik ,2020,601,0.0
Instituto Tecnológico de Buenos Aires (ITBA),2020,601,0.0
Iran University of Science and Technology,2020,601,0.0
Keele University ,2020,601,0.0
Kyungpook National University,2020,601,0.0
Lobachevsky University,2020,601,0.0
Michigan Technological University,2020,601,0.0
Niigata University,2020,601,0.0
Palacký University Olomouc,2020,601,0.0
Pontifícia Universidade Católica do Rio de Janeiro,2020,601,0.0
Sichuan University,2020,601,0.0
Smith College,2020,601,0.0
Tallinn University of Technology (TalTech),2020,601,0.0
Thammasat University,2020,601,0.0
Tokyo Metropolitan University,2020,601,0.0
Tokyo University of Agriculture and Technology ,2020,601,0.0
Ulster University,2020,601,0.0
Universidad de Concepción,2020,601,0.0
University of Salamanca,2020,601,0.0
Universidad de San Andrés - UdeSA,2020,601,0.0
Universidad de Sevilla,2020,601,0.0
Universidad Panamericana (UP),2020,601,0.0
Universidad Torcuato Di Tella,2020,601,0.0
Universität Duisburg-Essen,2020,601,0.0
Universität Regensburg,2020,601,0.0
University of Bradford,2020,601,0.0
University of Debrecen,2020,601,0.0
University of Hull,2020,601,0.0
University of Hyderabad,2020,601,0.0
University of Jordan,2020,601,0.0
University of Kentucky,2020,601,0.0
University of Klagenfurt,2020,601,0.0
University of Manitoba,2020,601,0.0
University of New Mexico,2020,601,0.0
University of Oregon,2020,601,0.0
University of Portsmouth,2020,601,0.0
University of South Florida,2020,601,0.0
University of Tehran,2020,601,0.0
Victoria University ,2020,601,0.0
Virginia Commonwealth University,2020,601,0.0
Worcester Polytechnic Institute,2020,601,0.0
Airlangga University,2020,651,0.0
Bogaziçi Üniversitesi,2020,651,0.0
Brno University of Technology,2020,651,0.0
Carleton University,2020,651,0.0
Charles Darwin University ,2020,651,0.0
China Agricultural University ,2020,651,0.0
Edith Cowan University ,2020,651,0.0
Eötvös Loránd University,2020,651,0.0
Indiana University–Purdue University Indianapolis,2020,651,0.0
Instituto Politécnico Nacional (IPN),2020,651,0.0
Instituto Tecnológico Autónomo de México (ITAM),2020,651,0.0
International Islamic University Malaysia (IIUM),2020,651,0.0
Istanbul Technical University,2020,651,0.0
Jadavpur University,2020,651,0.0
Jordan University of Science & Technology,2020,651,0.0
Kagoshima University,2020,651,0.0
Kaohsiung Medical University,2020,651,0.0
Kazakh National Agrarian University KazNAU,2020,651,0.0
Leibniz University Hannover,2020,651,0.0
Louisiana State University,2020,651,0.0
Missouri University of Science and Technology,2020,651,0.0
National and Kapodistrian University of Athens,2020,651,0.0
National Chung Hsing University,2020,651,0.0
"National Technical University  ""Kharkiv Polytechnic Institute""",2020,651,0.0
Osaka Prefecture University ,2020,651,0.0
Philipps-Universität Marburg ,2020,651,0.0
Pontifícia Universidade Católica de São Paulo,2020,651,0.0
Rutgers University–Newark,2020,651,0.0
Samara National Research University (Samara University),2020,651,0.0
Sejong University ,2020,651,0.0
Stevens Institute of Technology,2020,651,0.0
Temple University,2020,651,0.0
Universidad de Antioquia,2020,651,0.0
University of the Basque Country,2020,651,0.0
Universidad Iberoamericana IBERO,2020,651,0.0
Universidade de Santiago de Compostela,2020,651,0.0
Universidade Federal de Minas Gerais      ,2020,651,0.0
Universidade Federal do Rio Grande Do Sul ,2020,651,0.0
University of Genoa,2020,651,0.0
University of Hohenheim,2020,651,0.0
Université Claude Bernard Lyon 1,2020,651,0.0
Université de Sherbrooke,2020,651,0.0
Universiti Teknologi MARA - UiTM,2020,651,0.0
University of Denver,2020,651,0.0
University of Haifa,2020,651,0.0
University of Houston,2020,651,0.0
University of Minho,2020,651,0.0
University of Pecs,2020,651,0.0
University of Plymouth,2020,651,0.0
University of Seoul ,2020,651,0.0
University of Sharjah,2020,651,0.0
University of Westminster,2020,651,0.0
University of Windsor,2020,651,0.0
Zayed University,2020,651,0.0
Abu Dhabi University,2020,701,0.0
Beijing Jiaotong University,2020,701,0.0
Beijing University of Technology,2020,701,0.0
Bournemouth University,2020,701,0.0
Central South University,2020,701,0.0
Chonnam National University,2020,701,0.0
Chungnam National University,2020,701,0.0
Clemson University,2020,701,0.0
Dankook University ,2020,701,0.0
Georgia State University,2020,701,0.0
Hunan University ,2020,701,0.0
Kansas State University ,2020,701,0.0
Lahore University of Management Sciences (LUMS),2020,701,0.0
London South Bank University,2020,701,0.0
"Manipal Academy of Higher Education, Manipal, Karnataka, India",2020,701,0.0
Maynooth University,2020,701,0.0
Memorial University of Newfoundland,2020,701,0.0
"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""",2020,701,0.0
Northumbria University at Newcastle,2020,701,0.0
Nottingham Trent University,2020,701,0.0
Pontificia Universidad Católica de Valparaíso,2020,701,0.0
Riga Technical University,2020,701,0.0
Universitat Rovira i Virgili,2020,701,0.0
Shenzhen University,2020,701,0.0
Southern Methodist University,2020,701,0.0
Sumy State University,2020,701,0.0
Universidad Adolfo Ibáñez,2020,701,0.0
Universidad Central de Venezuela,2020,701,0.0
University of Alicante,2020,701,0.0
Universidad de Guadalajara (UDG),2020,701,0.0
Universidad ICESI,2020,701,0.0
Universidade Federal de Santa Catarina ,2020,701,0.0
University of Siena,2020,701,0.0
University of Trieste,2020,701,0.0
Universität Potsdam,2020,701,0.0
Université de Lille,2020,701,0.0
University at Albany SUNY,2020,701,0.0
Universiti Malaysia Perlis,2020,701,0.0
The University of Alabama,2020,701,0.0
University of Baghdad,2020,701,0.0
University of Central Florida,2020,701,0.0
University of Greenwich,2020,701,0.0
University of Huddersfield,2020,701,0.0
University of Patras,2020,701,0.0
University of Tulsa,2020,701,0.0
University of Wyoming,2020,701,0.0
Viet Nam National University Ho Chi Minh City (VNU-HCM),2020,701,0.0
Yamaguchi University ,2020,701,0.0
Ajman University,2020,751,0.0
Anna University,2020,751,0.0
Brigham Young University,2020,751,0.0
Chongqing University,2020,751,0.0
Comenius University in Bratislava,2020,751,0.0
Technological University Dublin,2020,751,0.0
Florida International University,2020,751,0.0
Gunma University,2020,751,0.0
Jamia Millia Islamia,2020,751,0.0
Kaunas University of Technology,2020,751,0.0
Kazakh-British Technical University,2020,751,0.0
Lanzhou University,2020,751,0.0
London Metropolitan University,2020,751,0.0
Loyola University Chicago,2020,751,0.0
Manchester Metropolitan University (MMU),2020,751,0.0
Lviv Polytechnic National University,2020,751,0.0
New Jersey Institute of Technology (NJIT),2020,751,0.0
O.P. Jindal Global University,2020,751,0.0
Oklahoma State University ,2020,751,0.0
Universitas Padjadjaran,2020,751,0.0
Paris Lodron University of Salzburg,2020,751,0.0
Plekhanov Russian University of Economics,2020,751,0.0
Shinshu University ,2020,751,0.0
Slovak University of Technology in Bratislava,2020,751,0.0
"Sofia University ""St. Kliment Ohridski""",2020,751,0.0
Southern Cross University ,2020,751,0.0
Sunway University,2020,751,0.0
Technical University of Liberec,2020,751,0.0
TU Dortmund University,2020,751,0.0
Universidad de La Sabana,2020,751,0.0
Universidad de las Américas Puebla (UDLAP),2020,751,0.0
Universidad San Francisco de Quito (USFQ),2020,751,0.0
Universidad del Rosario,2020,751,0.0
Ca' Foscari University of Venice ,2020,751,0.0
University of Modena and Reggio Emilia,2020,751,0.0
Università degli Studi di Perugia,2020,751,0.0
Bielefeld University,2020,751,0.0
University Duesseldorf,2020,751,0.0
Universität Rostock,2020,751,0.0
Université de Lorraine,2020,751,0.0
Universiti Malaysia Pahang,2020,751,0.0
University of Brescia,2020,751,0.0
University of Crete,2020,751,0.0
University of East London,2020,751,0.0
University of Hertfordshire,2020,751,0.0
University of Maribor,2020,751,0.0
University of Southern Queensland ,2020,751,0.0
University of the West of England,2020,751,0.0
University of Zagreb,2020,751,0.0
Yokohama National University,2020,751,0.0
"Adam Mickiewicz University, Poznań",2020,801,0.0
AGH University of Science and Technology,2020,801,0.0
Ain Shams University ,2020,801,0.0
Alexandria University ,2020,801,0.0
Aligarh Muslim University,2020,801,0.0
Amrita Vishwa Vidyapeetham,2020,801,0.0
Ankara Üniversitesi,2020,801,0.0
Assiut University ,2020,801,0.0
Athens University of Economics and Business,2020,801,0.0
Auburn University,2020,801,0.0
Australian Catholic University,2020,801,0.0
Babes-Bolyai University,2020,801,0.0
Baku State University,2020,801,0.0
Banaras Hindu University,2020,801,0.0
Bangladesh University of Engineering and Technology,2020,801,0.0
Baylor University,2020,801,0.0
Beijing Foreign Studies University,2020,801,0.0
Beirut Arab University ,2020,801,0.0
Belarusian National Technical University (BNTU),2020,801,0.0
Bina Nusantara University (BINUS),2020,801,0.0
Binghamton University SUNY,2020,801,0.0
"Birla Institute of Technology and Science, Pilani",2020,801,0.0
Birmingham City University ,2020,801,0.0
Budapest University of Technology and Economics,2020,801,0.0
Canterbury Christ Church University,2020,801,0.0
COMSATS University Islamabad,2020,801,0.0
Corvinus University of Budapest,2020,801,0.0
Cracow University of Technology (Politechnika Krakowska),2020,801,0.0
Czech University of Life Sciences in Prague,2020,801,0.0
De La Salle University,2020,801,0.0
De Montfort University,2020,801,0.0
Diponegoro University,2020,801,0.0
Academician Y.A. Buketov Karaganda University,2020,801,0.0
Edinburgh Napier University,2020,801,0.0
Escuela Politécnica Nacional,2020,801,0.0
Escuela Superior Politécnica del Litoral (ESPOL),2020,801,0.0
Fordham University ,2020,801,0.0
Gdańsk University of Technology,2020,801,0.0
George Mason University,2020,801,0.0
German Jordanian University,2020,801,0.0
Glasgow Caledonian University,2020,801,0.0
Hacettepe University ,2020,801,0.0
Istanbul University,2020,801,0.0
Karaganda State Technical University,2020,801,0.0
Kasetsart University,2020,801,0.0
Kazakh Ablai Khan University of International Relations and World Languages,2020,801,0.0
Kent State University,2020,801,0.0
Khon Kaen University,2020,801,0.0
King Faisal University,2020,801,0.0
King Mongkut's University of Technology Thonburi ,2020,801,0.0
Kuwait University,2020,801,0.0
Kyoto Institute of Technology,2020,801,0.0
Kyushu Institute of Technology ,2020,801,0.0
Liverpool John Moores University,2020,801,0.0
Lodz University of Technology,2020,801,0.0
Marquette University,2020,801,0.0
Miami University,2020,801,0.0
Middlesex University,2020,801,0.0
Multimedia University (MMU),2020,801,0.0
Mustansiriyah University,2020,801,0.0
Nagoya Institute of Technology (NIT),2020,801,0.0
National Chung Cheng University,2020,801,0.0
Nicolaus Copernicus University ,2020,801,0.0
Notre Dame University-Louaize NDU,2020,801,0.0
Novosibirsk State Technical University,2020,801,0.0
Ohio University,2020,801,0.0
Politecnico di Bari,2020,801,0.0
Pontificia Universidad Católica del Ecuador (PUCE),2020,801,0.0
Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),2020,801,0.0
Poznań University of Technology,2020,801,0.0
Prince of Songkla University,2020,801,0.0
Princess Sumaya University for Technology,2020,801,0.0
Rhodes University ,2020,801,0.0
Riga Stradins University,2020,801,0.0
Rikkyo University,2020,801,0.0
Ritsumeikan University,2020,801,0.0
Ryerson University,2020,801,0.0
Saitama University,2020,801,0.0
San Diego State University,2020,801,0.0
Savitribai Phule Pune University,2020,801,0.0
Seoul National University of Science and Technology,2020,801,0.0
Institut Teknologi Sepuluh Nopember (ITS Surabaya),2020,801,0.0
Shahid Beheshti University (SBU),2020,801,0.0
Shanghai International Studies University,2020,801,0.0
Sheffield Hallam University,2020,801,0.0
Shiraz University,2020,801,0.0
Sophia University ,2020,801,0.0
South Ural State University (National Research University),2020,801,0.0
Tallinn University ,2020,801,0.0
Technical University of Kosice,2020,801,0.0
Tecnológico de Costa Rica -TEC,2020,801,0.0
Texas Tech University,2020,801,0.0
Thapar Institute of Engineering & Technology,2020,801,0.0
Robert Gordon University,2020,801,0.0
Tokai University,2020,801,0.0
Tokyo University of Science,2020,801,0.0
Universidad Austral de Chile,2020,801,0.0
Universidad Autónoma de Nuevo León,2020,801,0.0
Universidad Autónoma del Estado de México (UAEMex),2020,801,0.0
Universidad Autónoma Metropolitana (UAM),2020,801,0.0
Universidad Católica Andres Bello,2020,801,0.0
Universidad de Castilla-La Mancha,2020,801,0.0
Universidad de la República (Udelar),2020,801,0.0
Universidad de Lima,2020,801,0.0
Universidad de los Andes - Chile,2020,801,0.0
Universidad de Los Andes - (ULA) Mérida,2020,801,0.0
Universidad de Monterrey (UDEM),2020,801,0.0
University of Murcia,2020,801,0.0
Universidad de Oviedo,2020,801,0.0
Universidad de Puerto Rico,2020,801,0.0
Universidad de Talca,2020,801,0.0
Universidad del Norte ,2020,801,0.0
Universidad del Valle,2020,801,0.0
Universidad Diego Portales (UDP),2020,801,0.0
Universidad EAFIT,2020,801,0.0
Universidad Nacional Costa Rica,2020,801,0.0
Universidad Nacional de la Asunción,2020,801,0.0
Universidad Nacional de Córdoba - UNC,2020,801,0.0
Universidad Nacional de Mar del Plata,2020,801,0.0
Universidad Nacional de Rosario (UNR),2020,801,0.0
Universidad Peruana Cayetano Heredia (UPCH),2020,801,0.0
Universidad Simón Bolívar (USB),2020,801,0.0
Universidad Técnica Federico Santa María (USM),2020,801,0.0
Universidad Tecnológica de Panamá (UTP),2020,801,0.0
Universidad Tecnológica Nacional (UTN),2020,801,0.0
Universidade Católica Portuguesa - UCP,2020,801,0.0
Universidade da Coruña ,2020,801,0.0
Universidade de Brasília,2020,801,0.0
Universidade de Vigo,2020,801,0.0
Universidade do Estado do Rio de Janeiro (UERJ),2020,801,0.0
Universidade Estadual de Londrina,2020,801,0.0
Universidade Federal de São Carlos (UFSCar),2020,801,0.0
Universidade Federal de Viçosa (UFV),2020,801,0.0
Universidade Federal do Paraná - UFPR,2020,801,0.0
Universidade Federal de Pernambuco (UFPE) ,2020,801,0.0
Universidade Federal Fluminense ,2020,801,0.0
Catania University,2020,801,0.0
Universita' degli Studi di Ferrara,2020,801,0.0
University of Salerno,2020,801,0.0
Università degli Studi di Udine,2020,801,0.0
Università degli studi Roma Tre,2020,801,0.0
University of Palermo,2020,801,0.0
Universität Siegen,2020,801,0.0
Université de Nantes,2020,801,0.0
Université de Poitiers,2020,801,0.0
Université de Rennes 1,2020,801,0.0
Université Lumière Lyon 2,2020,801,0.0
Paul Valéry University Montpellier,2020,801,0.0
Université Toulouse 1 Capitole,2020,801,0.0
Universiti Malaysia Sarawak (UNIMAS),2020,801,0.0
Universiti Tenaga Nasional (UNITEN),2020,801,0.0
Universiti Tunku Abdul Rahman (UTAR),2020,801,0.0
University of Arkansas Fayetteville ,2020,801,0.0
University of Bahrain,2020,801,0.0
University of Bari,2020,801,0.0
University of Belgrade,2020,801,0.0
University of Brighton,2020,801,0.0
University of Bucharest,2020,801,0.0
University of Calcutta,2020,801,0.0
University of Central Lancashire,2020,801,0.0
University of Dhaka,2020,801,0.0
University of Engineering & Technology (UET) Lahore,2020,801,0.0
UNIVERSITY OF GDANSK,2020,801,0.0
University of Kufa,2020,801,0.0
University of Kwazulu-Natal,2020,801,0.0
University of Latvia,2020,801,0.0
University of Lincoln,2020,801,0.0
University of Lodz,2020,801,0.0
Universiti Malaysia Sabah (UMS),2020,801,0.0
University of Mississippi,2020,801,0.0
University of Montana Missoula ,2020,801,0.0
University of Mumbai,2020,801,0.0
University of New England Australia,2020,801,0.0
University of New Hampshire,2020,801,0.0
University of Ostrava,2020,801,0.0
University of Parma,2020,801,0.0
University of Peradeniya ,2020,801,0.0
University of Salford,2020,801,0.0
University of San Diego,2020,801,0.0
University of San Francisco,2020,801,0.0
University of Santo Tomas,2020,801,0.0
University of Silesia in Katowice,2020,801,0.0
University of the Pacific,2020,801,0.0
University of the Punjab,2020,801,0.0
University of the Western Cape,2020,801,0.0
University of Wroclaw,2020,801,0.0
Université de Toulouse II-Le Mirail,2020,801,0.0
Utah State University ,2020,801,0.0
Vellore Institute of Technology (VIT),2020,801,0.0
Verona University,2020,801,0.0
"Vietnam National University, Hanoi ",2020,801,0.0
Voronezh State University,2020,801,0.0
Vytautas Magnus University,2020,801,0.0
Warsaw University of Life Sciences – SGGW (WULS-SGGW),2020,801,0.0
Wroclaw University of Science and Technology (WRUST),2020,801,0.0
Wuhan University of Technology,2020,801,0.0
Xi'an Jiaotong Liverpool University,2020,801,0.0
Yeungnam University ,2020,801,0.0
Al Imam Mohammad Ibn Saud Islamic University,2020,1001,0.0
Alexandru Ioan Cuza University,2020,1001,0.0
Amity University,2020,1001,0.0
Azerbaijan State University of Economics,2020,1001,0.0
Baylor College of Medicine,2020,1001,0.0
Benemérita Universidad Autónoma de Puebla,2020,1001,0.0
BI Norwegian Business School,2020,1001,0.0
Central European University,2020,1001,0.0
Charles Sturt University ,2020,1001,0.0
Copenhagen Business School,2020,1001,0.0
Cranfield University,2020,1001,0.0
Doshisha University,2020,1001,0.0
ESCP Business School - Paris,2020,1001,0.0
ESSEC Business School,2020,1001,0.0
Feng Chia University,2020,1001,0.0
Fu Jen Catholic University,2020,1001,0.0
German University in Cairo,2020,1001,0.0
Institut polytechnique de Grenoble - Grenoble Institute of Technology,2020,1001,0.0
Harper Adams University,2020,1001,0.0
HEC Paris School of Management,2020,1001,0.0
"Indian Institute of Information Technology, Allahabad",2020,1001,0.0
INSEAD,2020,1001,0.0
Jamia Hamdard,2020,1001,0.0
Jawaharlal Nehru University,2020,1001,0.0
Karolinska Institutet,2020,1001,0.0
King Abdullah University of Science & Technology (KAUST),2020,1001,0.0
King Mongkut's Institute of Technology Ladkrabang,2020,1001,0.0
Leeds Beckett University,2020,1001,0.0
London Business School,2020,1001,0.0
Makerere University,2020,1001,0.0
Meiji University,2020,1001,0.0
National Taipei University,2020,1001,0.0
National University of Kyiv-Mohyla Academy (NaUKMA),2020,1001,0.0
North-West University,2020,1001,0.0
Northern Arizona University,2020,1001,0.0
Princess Nourah bint Abdulrahman University,2020,1001,0.0
Stockholm School of Economics,2020,1001,0.0
VSB - Technical University of Ostrava,2020,1001,0.0
Ton Duc Thang University,2020,1001,0.0
Universidad Andrés Bello,2020,1001,0.0
Universidad de La Frontera (UFRO),2020,1001,0.0
Universidad de Valparaíso (UV),2020,1001,0.0
Universidad Industrial de Santander - UIS,2020,1001,0.0
Universidad Metropolitana,2020,1001,0.0
Universidad Nacional de Cuyo,2020,1001,0.0
Universidad Nacional de San Martín (UNSAM),2020,1001,0.0
Universidad Peruana de Ciencias Aplicadas,2020,1001,0.0
Universidad Rey Juan Carlos,2020,1001,0.0
Universidade Federal do Ceará (UFC),2020,1001,0.0
Bocconi University,2020,1001,0.0
Université de Cergy-Pontoise,2020,1001,0.0
Université de Technologie de Compiègne (UTC),2020,1001,0.0
Université Jean Moulin Lyon 3,2020,1001,0.0
Université Paris-Nanterre,2020,1001,0.0
Université Sorbonne Nouvelle Paris 3,2020,,0.0
Universiti Malaysia Terengganu (UMT),2020,1001,0.0
Universitas Brawijaya ,2020,1001,0.0
"University of California, San Francisco",2020,1001,0.0
University of Colombo,2020,1001,0.0
Prague University of Economics and Business,2020,1001,0.0
University of Karachi,2020,1001,0.0
The University of Lahore,2020,1001,0.0
University of Nairobi,2020,1001,0.0
University of the Sunshine Coast ,2020,1001,0.0
University POLITEHNICA of Bucharest,2020,1001,0.0
Weizmann Institute of Science,2020,1001,0.0
Universitatea de Vest din Timisoara /  West University of Timisoara,2020,1001,0.0
WHU - Otto Beisheim School of Management ,2020,1001,0.0
Massachusetts Institute of Technology (MIT) ,2021,1,100.0
Stanford University,2021,2,98.4
Harvard University,2021,3,97.9
California Institute of Technology (Caltech),2021,4,97.0
University of Oxford,2021,5,96.7
ETH Zurich - Swiss Federal Institute of Technology,2021,6,95.0
University of Cambridge,2021,7,94.3
Imperial College London,2021,8,93.6
University of Chicago,2021,9,93.1
UCL,2021,10,92.9
National University of Singapore (NUS),2021,11,91.5
Princeton University,2021,12,91.0
"Nanyang Technological University, Singapore (NTU)",2021,13,89.9
EPFL,2021,14,89.6
Tsinghua University,2021,15,89.2
University of Pennsylvania,2021,16,88.6
Yale University,2021,17,88.0
Cornell University,2021,18,87.6
Columbia University,2021,19,86.5
The University of Edinburgh,2021,20,85.8
University of Michigan-Ann Arbor,2021,21,84.6
The University of Hong Kong,2021,22,83.7
Peking University,2021,23,83.5
The University of Tokyo,2021,24,83.2
Johns Hopkins University,2021,25,82.7
University of Toronto,2021,25,82.7
The Hong Kong University of Science and Technology,2021,27,82.1
The University of Manchester,2021,27,82.1
Northwestern University,2021,29,81.5
"University of California, Berkeley (UCB)",2021,30,80.8
The Australian National University,2021,31,80.0
King's College London,2021,31,80.0
McGill University,2021,31,80.0
Fudan University,2021,34,79.9
New York University (NYU),2021,35,79.4
"University of California, Los Angeles (UCLA)",2021,36,79.2
Seoul National University,2021,37,79.0
Kyoto University,2021,38,78.9
KAIST - Korea Advanced Institute of Science & Technology,2021,39,78.6
The University of Sydney,2021,40,77.1
The University of Melbourne,2021,41,76.5
Duke University,2021,42,76.4
The Chinese University of Hong Kong (CUHK),2021,43,75.8
The University of New South Wales (UNSW Sydney),2021,44,75.4
University of British Columbia,2021,45,74.8
The University of Queensland,2021,46,74.5
Shanghai Jiao Tong University,2021,47,74.4
City University of Hong Kong,2021,48,74.3
The London School of Economics and Political Science (LSE),2021,49,73.9
Technical University of Munich,2021,50,73.6
Carnegie Mellon University,2021,51,73.4
Université PSL,2021,52,73.3
Zhejiang University,2021,53,71.9
"University of California, San Diego (UCSD)",2021,54,71.2
Monash University,2021,55,70.9
Tokyo Institute of Technology (Tokyo Tech),2021,56,70.8
Delft University of Technology,2021,57,70.7
University of Bristol,2021,58,70.6
Universiti Malaya (UM),2021,59,70.1
Brown University,2021,60,70.0
University of Amsterdam,2021,61,69.9
Ecole Polytechnique,2021,61,69.9
The University of Warwick,2021,62,69.0
Ludwig-Maximilians-Universität München,2021,63,68.9
Ruprecht-Karls-Universität Heidelberg,2021,64,68.6
University of Wisconsin-Madison,2021,65,68.2
National Taiwan University (NTU),2021,66,67.5
Universidad de Buenos Aires (UBA),2021,66,67.5
Korea University,2021,69,67.1
University of Zurich,2021,69,67.1
University of Texas at Austin,2021,71,66.7
Osaka University,2021,72,66.1
University of Washington,2021,72,66.1
Lomonosov Moscow State University,2021,74,65.9
The Hong Kong Polytechnic University,2021,75,65.8
University of Copenhagen,2021,76,65.5
Pohang University of Science And Technology (POSTECH),2021,77,64.6
University of Glasgow,2021,77,64.6
Tohoku University,2021,79,64.3
Georgia Institute of Technology,2021,80,64.1
The University of Auckland,2021,81,64.0
University of Illinois at Urbana-Champaign,2021,82,63.4
Sorbonne University,2021,83,63.3
KU Leuven,2021,84,63.0
Durham University,2021,86,62.2
Yonsei University,2021,85,62.5
University of Birmingham,2021,87,62.0
Sungkyunkwan University(SKKU),2021,88,61.5
Rice University,2021,89,61.4
University of Southampton,2021,90,61.3
University of Leeds,2021,91,61.2
The University of Western Australia,2021,92,61.0
The University of Sheffield,2021,93,60.8
University of Science and Technology of China,2021,93,60.8
"University of North Carolina, Chapel Hill",2021,95,60.6
University of St Andrews,2021,96,60.3
Lund University,2021,97,60.2
KTH Royal Institute of Technology ,2021,98,59.5
University of Nottingham,2021,99,59.0
Universidad Nacional Autónoma de México  (UNAM),2021,100,58.8
Pennsylvania State University,2021,101,58.4
"Trinity College Dublin, The University of Dublin",2021,101,58.4
Technical University of Denmark,2021,103,57.9
University of Helsinki,2021,104,57.6
Washington University in St. Louis,2021,105,56.9
The University of Adelaide,2021,106,56.8
University of Geneva,2021,106,56.8
The Ohio State University,2021,108,56.4
Purdue University,2021,109,55.9
Boston University,2021,110,55.8
Nagoya University,2021,110,55.8
"University of California, Davis",2021,112,55.3
University of Oslo,2021,113,55.2
University of Bern,2021,114,54.9
Queen Mary University of London,2021,114,55.1
Universidade de São Paulo,2021,115,54.8
Wageningen University & Research,2021,115,54.8
Humboldt-Universität zu Berlin,2021,117,54.5
Université de Montréal ,2021,118,54.3
University of Alberta,2021,119,54.0
Eindhoven University of Technology,2021,120,53.9
Pontificia Universidad Católica de Chile (UC),2021,121,53.8
University of Southern California,2021,121,53.8
Utrecht University,2021,121,53.8
Kyushu University,2021,124,53.7
Nanjing University,2021,124,53.7
Uppsala University,2021,124,53.7
Aalto University,2021,127,53.6
Leiden University,2021,128,53.4
University of Groningen,2021,128,53.4
Freie Universitaet Berlin,2021,130,53.2
"KIT, Karlsruhe Institute of Technology",2021,131,52.9
Universiti Putra Malaysia (UPM),2021,132,52.7
University of Technology Sydney,2021,133,52.6
Lancaster University,2021,135,52.5
Ghent University,2021,135,52.5
Politecnico di Milano,2021,137,52.4
CentraleSupélec,2021,138,52.3
Chalmers University of Technology,2021,139,52.2
Hokkaido University,2021,139,52.2
Universiti Kebangsaan Malaysia (UKM),2021,141,52.0
Universiti Sains Malaysia (USM),2021,142,51.9
King Abdulaziz University (KAU),2021,143,51.7
McMaster University,2021,144,51.5
RWTH Aachen University,2021,145,51.4
Hanyang University,2021,146,51.3
Aarhus University,2021,147,51.0
Technische Universität Berlin (TU Berlin),2021,148,50.8
University of Basel,2021,149,50.6
University of Vienna,2021,150,50.3
University of York,2021,150,50.3
Newcastle University,2021,152,50.2
"University of California, Santa Barbara (UCSB)",2021,152,50.2
"University of Maryland, College Park",2021,152,50.2
Tecnológico de Monterrey,2021,155,49.9
University of Pittsburgh,2021,156,49.7
Michigan State University,2021,157,49.6
Emory University,2021,158,49.1
Cardiff University,2021,159,48.5
Alma Mater Studiorum - University of Bologna,2021,160,48.2
École Normale Supérieure de Lyon,2021,161,48.1
Case Western Reserve University,2021,162,47.4
University of Florida,2021,162,47.4
The University of Exeter,2021,164,47.2
University of Rochester,2021,165,46.9
Al-Farabi Kazakh National University,2021,165,46.9
University of Waterloo,2021,166,46.8
National Tsing Hua University,2021,168,46.4
Texas A&M University,2021,169,46.2
University of Lausanne,2021,169,46.2
Sapienza University of Rome,2021,171,46.1
Indian Institute of Technology Bombay (IITB),2021,172,46.0
Technische Universität Dresden,2021,173,45.9
University of Bath,2021,173,45.9
Eberhard Karls Universität Tübingen,2021,175,45.8
Albert-Ludwigs-Universitaet Freiburg,2021,175,45.8
The Hebrew University of Jerusalem,2021,177,45.7
University College Dublin,2021,177,45.7
University of Minnesota Twin Cities,2021,177,45.7
Universidad de Chile,2021,180,45.6
Stockholm University,2021,181,45.5
University of Liverpool,2021,181,45.5
Universitat de Barcelona,2021,183,45.4
University of Otago,2021,184,45.3
Indian Institute of Science,2021,185,44.9
King Fahd University of Petroleum & Minerals,2021,186,44.7
Universiti Teknologi Malaysia ,2021,187,44.2
Vanderbilt University,2021,187,44.2
Université catholique de Louvain (UCLouvain),2021,189,44.1
Waseda University,2021,189,44.1
Keio University,2021,191,44.0
Technische Universität Wien,2021,191,44.0
Indian Institute of Technology Delhi (IITD),2021,193,43.9
University of Bergen,2021,194,43.4
University of Göttingen,2021,195,43.3
University of Wollongong,2021,196,43.2
